,Item Name,Date,Price
316,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-28,25.0
317,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-28,22.0
318,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-28,18.0
319,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-28,88.0
320,Vegetable-Dambulla-Wholesale-Beans ,2015-04-28,85.0
321,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-28,18.0
322,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-29,25.0
323,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-29,25.0
324,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-29,83.0
325,Other-Dambulla-Wholesale-Red Onions (local) ,2015-04-30,60.0
326,Other-Dambulla-Wholesale-Coconut ,2015-04-30,48.0
327,Other-Dambulla-Wholesale-Potatoes (local) ,2015-04-30,93.0
328,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-04-30,83.0
329,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-04-30,33.0
330,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-04-30,215.0
331,Vegetable-Dambulla-Wholesale-Brinjal ,2015-04-30,28.0
332,Vegetable-Dambulla-Wholesale-Beans ,2015-04-30,95.0
333,Vegetable-Dambulla-Wholesale-Carrot ,2015-04-30,95.0
334,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-04-30,14.0
335,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-04-30,38.0
336,Vegetable-Dambulla-Wholesale-Cabbage ,2015-04-30,25.0
337,Other-Dambulla-Wholesale-Coconut ,2015-05-06,43.0
338,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-05-06,215.0
339,Other-Dambulla-Wholesale-Potatoes (local) ,2015-05-06,90.0
340,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-05-06,93.0
341,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-05-06,28.0
342,Other-Dambulla-Wholesale-Red Onions (local) ,2015-05-06,73.0
343,Vegetable-Dambulla-Wholesale-Brinjal ,2015-05-06,35.0
344,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-05-06,35.0
345,Vegetable-Dambulla-Wholesale-Cabbage ,2015-05-06,23.0
346,Vegetable-Dambulla-Wholesale-Carrot ,2015-05-06,85.0
347,Vegetable-Dambulla-Wholesale-Beans ,2015-05-06,100.0
348,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-05-06,19.0
349,Other-Dambulla-Wholesale-Red Onions (local) ,2015-05-07,75.0
350,Other-Dambulla-Wholesale-Coconut ,2015-05-07,44.0
351,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-05-07,213.0
352,Other-Dambulla-Wholesale-Potatoes (local) ,2015-05-07,93.0
353,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-05-07,93.0
354,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-05-07,30.0
355,Vegetable-Dambulla-Wholesale-Carrot ,2015-05-07,100.0
356,Vegetable-Dambulla-Wholesale-Brinjal ,2015-05-07,40.0
357,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-05-07,38.0
358,Vegetable-Dambulla-Wholesale-Cabbage ,2015-05-07,25.0
359,Vegetable-Dambulla-Wholesale-Beans ,2015-05-07,85.0
360,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-05-07,16.0
361,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-05-08,38.0
362,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-05-08,213.0
363,Other-Dambulla-Wholesale-Potatoes (local) ,2015-05-08,95.0
364,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-05-08,100.0
365,Other-Dambulla-Wholesale-Red Onions (local) ,2015-05-08,65.0
366,Other-Dambulla-Wholesale-Coconut ,2015-05-08,47.0
367,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-05-08,14.0
368,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-05-08,28.0
369,Vegetable-Dambulla-Wholesale-Cabbage ,2015-05-08,35.0
370,Vegetable-Dambulla-Wholesale-Carrot ,2015-05-08,95.0
